	magnitude	magnitude	magnitude	magnitude	magnitude	magnitude	magnitude	magnitude
	mean	min	max	median	sum	std	var	count
timestamp								
1970-01-01 00:00:13	209.74458874458875	135	456	163.0	48451	92.20539290876957	8501.834481460573	231
1970-01-01 00:00:14	169.40404040404042	124	492	148.0	50313	67.27624362724897	4526.092956592958	297
1970-01-01 00:00:15	172.8877551020408	129	524	147.0	50829	68.49915412442948	4692.134115762345	294
1970-01-01 00:00:16	187.96666666666667	131	572	152.0	56390	85.87724899649636	7374.901895206236	300
1970-01-01 00:00:17	178.66	129	438	152.0	53598	65.75873913462192	4324.211772575257	300
1970-01-01 00:00:18	192.22413793103448	128	628	142.5	11149	109.55540825223547	12002.387477313981	58
